"ElementsTableOfContentsItem href","sl-flex-1","sl-font-medium"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ce9296cb61a20-create-a-message-thread","Create a Message Thread","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/283bc46f460d3-create-a-message-thread-for-a-case","Create a Message Thread for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/c89c9afad35d3-get-all-message-threads-for-a-client","Get All Message Threads for a Client","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/3ce67f7949827-create-a-message-on-a-message-thread","Create a Message on a Message Thread","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/g47ryw2snj6hi-notes","Notes",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/669b32853b3d5-get-an-individual-note","Get an Individual Note","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/b9dc80d4e95fb-update-an-individual-note","Update an Individual Note","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/d7242da7af5a2-delete-an-individual-note","Delete an Individual Note","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/e21e0d970a243-get-all-notes-for-a-case","Get All Notes for a Case","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/afdcb2279e69e-create-a-note-for-a-case","Create a Note for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/f73b8fbef1033-get-all-notes-for-a-client","Get All Notes for a Client","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/6a329d9538f82-create-a-note-for-a-client","Create a Note for a Client","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/deef105e4ceb7-create-a-note-for-a-company","Create a Note for a Company","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/8ni5dkogbrs3h-people-groups","People Groups",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/849d38baa1901-get-people-groups","Get People Groups","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/ee37de3204d76-create-a-people-group","Create a People Group","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/be8567d9ec756-update-an-individual-people-group","Update an Individual People Group","put"
